Station Name;Channel Name;Channel Nr;Date Time;Value;Status
WLT-02;Vlaga 04;127;1.9.2017 14:00;26,5;0
WLT-02;Vlaga 05;128;1.9.2017 14:00;25,5;0
WLT-02;Vlaga 06;129;1.9.2017 14:00;23,3;0
WLT-03;Vlaga 07;127;1.9.2017 14:00;31,7;0
WLT-03;Vlaga 08;128;1.9.2017 14:00;33,5;0
WLT-03;Vlaga 09;129;1.9.2017 14:00;21,1;0
WLT-04;Vlaga 10;127;1.9.2017 14:00;27,2;0
WLT-04;Vlaga 11;128;1.9.2017 14:00;31,4;0
WLT-04;Vlaga 12;129;1.9.2017 14:00;27,6;0
WLT-05;Vlaga 13;127;1.9.2017 14:00;32,7;0
WLT-05;Vlaga 14;128;1.9.2017 14:00;34,2;0
WLT-05;Vlaga 15;129;1.9.2017 14:00;34,7;0
WLT-06;Vlaga 16;127;1.9.2017 14:00;29,4;0
WLT-06;Vlaga 17;128;1.9.2017 14:00;31,9;0
WLT-06;Vlaga 18;129;1.9.2017 14:00;30,8;0
WLT-01;Vlaga 01;127;1.9.2017 15:00;31,9;0
WLT-01;Vlaga 02;128;1.9.2017 15:00;25,9;0
WLT-01;Vlaga 03;129;1.9.2017 15:00;30,2;0
WLT-02;Vlaga 04;127;1.9.2017 15:00;30;0
WLT-02;Vlaga 05;128;1.9.2017 15:00;22,7;0
WLT-02;Vlaga 06;129;1.9.2017 15:00;1,2;0
WLT-03;Vlaga 07;127;1.9.2017 15:00;31,9;0
WLT-03;Vlaga 08;128;1.9.2017 15:00;30,4;0
WLT-03;Vlaga 09;129;1.9.2017 15:00;1,1;0
WLT-04;Vlaga 10;127;1.9.2017 15:00;27,3;0
WLT-04;Vlaga 11;128;1.9.2017 15:00;31,7;0
WLT-04;Vlaga 12;129;1.9.2017 15:00;27,6;0
WLT-05;Vlaga 13;127;1.9.2017 15:00;36,2;0
WLT-05;Vlaga 14;128;1.9.2017 15:00;37,9;0
WLT-05;Vlaga 15;129;1.9.2017 15:00;32,1;0
WLT-06;Vlaga 16;127;1.9.2017 15:00;33,2;0
WLT-06;Vlaga 17;128;1.9.2017 15:00;29,2;0
WLT-06;Vlaga 18;129;1.9.2017 15:00;34,7;0
WLT-01;Vlaga 01;127;1.9.2017 16:00;31,9;0
WLT-01;Vlaga 02;128;1.9.2017 16:00;26,4;0
WLT-01;Vlaga 03;129;1.9.2017 16:00;27,4;0
WLT-02;Vlaga 04;127;1.9.2017 16:00;30,3;0
WLT-02;Vlaga 05;128;1.9.2017 16:00;23,3;0
WLT-02;Vlaga 06;129;1.9.2017 16:00;1,5;0
WLT-03;Vlaga 07;127;1.9.2017 16:00;31,9;0
WLT-03;Vlaga 08;128;1.9.2017 16:00;30,5;0
WLT-03;Vlaga 09;129;1.9.2017 16:00;24,8;0
